level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,hit_block,destroyed_original_indices
0,0,0.015030312735761941,0.6662820050095466,0,45.320434379436506,11.075905834326877,False,3|4|5|8|9
0,1,0.2494372059998199,0.844991140824563,1,15.734784099950666,5.632480279836719,False,1|6|7
0,2,0.3663039363979368,0.9590475839714511,2,72.39143449545676,9.239479141923523,True,
1,0,0.028130199122234245,0.3137589971903283,0,12.324394650425518,10.557217429843869,True,
1,1,0.8432430284507362,0.8828197632593463,1,14.416978122204688,6.067285261260654,True,
1,2,0.34144956276781846,0.8556241980885023,2,14.455842407808117,9.114552775376248,True,
1,3,0.8257923766390233,0.08030517939531512,3,30.79746834398191,10.49600599866078,True,
1,4,0.9891875196324446,0.017530917620482533,5,6.2425894257510866,9.661471006644737,False,0|1|2|3|5|6|7|8
2,0,0.5599783620468247,0.9567502799796261,0,12.726328270460089,10.264580815749476,False,0|1|2|3|6|7|8|9
2,1,0.1463441714257695,0.770259425440299,4,35.884689558120236,12.616238512787335,False,5
3,0,0.29598739655441986,0.9292895197099751,0,17.190426343708157,8.688749796501549,False,0|3|4|7|8|9
3,1,0.17745445342313482,0.36343144311146314,1,51.62220608888584,11.376241244312004,True,
3,2,0.3441456631192016,0.6148286494186956,2,31.688701476181798,12.536905386815501,True,
3,3,0.31412468776162383,0.7824346995296945,5,77.02730909019785,8.111181011216015,True,
3,4,0.44902373476835256,0.29251134517978106,6,38.04860726733281,10.980066388109236,True,
4,0,0.9921578357983508,0.08110638549709448,0,77.92311947996755,9.295564474451249,False,0|1|2|3|8
4,1,0.6013837053337617,0.37667680103673573,4,27.793815963196685,14.182632037295415,True,
4,2,0.6490573877457397,0.8229349816016824,5,19.908939488610354,13.254001396040616,False,4|9
4,3,0.9604882141348219,0.488761034404423,6,39.69686282112426,4.5704631420510315,False,6
4,4,0.49183409143232915,0.07524655143035575,7,53.00991021128741,11.397587977042274,False,
5,0,0.32027392939665733,0.23258700513639596,0,34.02965514669083,13.617664978025148,True,
5,1,0.5614256898339985,0.4950851412136319,1,52.25750571673026,9.30509143491218,False,0|1|2|4|5|6|7|9
5,2,0.5797042866751554,0.19224759844611272,3,61.77213072293429,8.990644895791833,False,
5,3,0.7597159440226674,0.5199326288816064,8,49.50816991655008,5.694462355478836,False,8
6,0,0.5792064059310895,0.8416692859829101,0,32.713852092267516,10.230239578782479,True,
6,1,0.9710362596204203,0.16006331702651733,1,88.61506604592307,8.834850614513075,False,1
6,2,0.09240323162384678,0.5629866928883533,2,37.59102949304317,7.638251837962329,False,0|2|3|4|5|6|7|9
6,3,0.07497858368541477,0.12005057291932897,8,42.21796672174859,11.711446401454504,True,
7,0,0.16223797885378954,0.8000205242151907,0,42.133273713700056,11.860113022935737,True,
7,1,0.3462800281645706,0.3026472837985642,1,28.59055922221316,12.307886385421202,True,
7,2,0.05331383064277295,0.9852652375828924,2,34.20448252992435,12.265113637489474,True,
7,3,0.5655638611197977,0.033323526894195155,3,7.948309311266405,11.88666273665039,False,1|3|4|5|6|8
7,4,0.918382041850069,0.9481254509239271,7,68.54003474153929,8.66645119704715,False,7|9
8,0,0.46078706928541124,0.23971764112279503,0,58.447319996992334,8.075130221503771,True,
8,1,0.7987954169464853,0.5266009804358216,1,23.786695632549538,8.441808344214868,False,0|1|3|4|5|6|7|8|9
8,2,0.8607610839904817,0.64453280254555,2,50.95479607734029,9.716060028280472,True,
9,0,0.6569308098953105,0.2821771033085554,0,38.012794909027235,6.19231064516025,False,0|1|2|4|5|6|8
9,1,0.4841722008916868,0.9938215173941453,3,33.35512145001338,12.962933347701735,False,
9,2,0.7367958156879497,0.6613261959168111,7,62.8723598421028,10.381075709498297,True,
9,3,0.4384173662194015,0.42093544266752214,9,64.63495076511937,9.433193353555748,True,
10,0,0.08994500044525633,0.6879255441286491,0,59.41703239235941,8.261151382287263,False,0|1|2|3|4|5|6|7|8|9|10|11
11,0,0.5224240470749284,0.9068432554273281,0,10.36682938305336,11.960403392224235,False,0|1|2|3|4|5|8|9|10|11
11,1,0.8966659103433021,0.4727613930353881,6,70.47710368594392,9.18161423014105,True,
11,2,0.3341615026467334,0.8283449771374685,7,32.097733076327486,12.149796078527327,True,
12,0,0.3158556758826837,0.7267957013662396,0,7.67113000891361,11.645150423338578,False,0|1|3|6|7|8|9|10|11
12,1,0.632059971739206,0.29713425213876266,2,41.374210171958225,10.326425146632474,False,
12,2,0.03559923436914614,0.3126448740126111,4,76.0930659538081,9.255777205930842,False,
12,3,0.13335370202150088,0.06126349853162283,5,77.73004404058209,10.33531252769773,False,
13,0,0.8847338734472241,0.2310889139138308,0,85.48518319632257,4.75433373227557,False,0
13,1,0.6029707442701459,0.9632208957453531,1,27.068733882513325,13.310669941119263,True,
13,2,0.37683018251005584,0.12612377150579024,2,36.90791507703231,9.430404774412487,False,1|2|3|5|6|7|8|9|11
13,3,0.2940698333249119,0.12314255752752934,4,42.8077599600585,10.64319538215016,False,
13,4,0.5991669034954541,0.9877512178439087,10,24.20500107493384,10.885084342296969,False,
14,0,0.06898664691484868,0.3975669893150606,0,27.518355473702446,11.655194178060988,False,0|1|2|3|4|5|7|9|10|11
14,1,0.3970716932607967,0.947909786253133,6,34.071237497227294,12.74804097852489,True,
14,2,0.8110757454589252,0.43476696659555214,8,14.281961835447717,5.411482739005818,False,8
15,0,0.9941737959228958,0.5556340561837297,0,7.6198898142809135,11.703812267250463,False,0|2|3|4|5|7|8|9|10
15,1,0.2478101639201007,0.35928691414653113,1,40.04415994177975,11.795369843625409,True,
15,2,0.6505986197362047,0.31589984319455056,6,44.534074569573626,10.047114143718922,False,
15,3,0.406869649553653,0.32312134039065454,11,73.16427720250525,9.386570422047495,False,
16,0,0.7977751406787054,0.4963473229527635,0,9.403081351084696,11.158628496995107,True,
16,1,0.5240620514886758,0.8826986612946403,1,42.83551540981167,10.768145826934267,True,
16,2,0.6773304670472247,0.4018719017807577,2,65.84301567327994,7.270924626296188,True,
16,3,0.2555020600860439,0.4360539837925378,3,15.225884532713245,13.500307206305369,True,
16,4,0.37479175584906876,0.6352938550645636,4,58.122183389471445,4.445909771853867,False,0|1|2|3|4|5|7|8|9|10
17,0,0.3010175743944109,0.7666237211528968,0,51.392631915101894,8.142412304526228,False,0|2|4|5|7|8|10
17,1,0.5409163540433412,0.18960966380993138,1,23.58474449043421,13.481813714539168,True,
17,2,0.8339229580942875,0.8017384499580339,3,35.460560696250475,11.846470888286547,True,
17,3,0.15403417605596004,0.04537150798585099,6,17.90880766459418,9.77099019056939,False,
18,0,0.6862730167216278,0.15560262922122015,0,21.32027709881366,11.226910074818493,True,
18,1,0.07908030816718503,0.7843809046457283,1,47.137926815147885,11.449113703908397,False,0|1|3|4|5|6|7|9|10|11
18,2,0.6779585115553721,0.13594773872070098,2,25.11511455201217,9.617525315115696,True,
18,3,0.4738800716362451,0.976032675420508,8,26.215566750860177,13.83738673320488,True,
19,0,0.6870026327305307,0.8663227446515903,0,34.907947484231386,12.742864471597986,True,
19,1,0.741494453830937,0.3294608872313918,1,68.16159197677857,8.548628370656175,False,2|5|8|10|11
19,2,0.27767811892329164,0.8723683162255286,3,54.45035437897884,9.46074514402308,True,
19,3,0.07703584367812888,0.5060662662727206,4,19.898682176901367,12.953447298052351,False,
19,4,0.456201458967084,0.7380825333015817,6,27.42990450266687,13.81200862957682,True,
20,0,0.7599029864207599,0.8646870919340348,0,87.0959279416815,9.926943012778313,True,
20,1,0.7662383620004019,0.5137382187336402,1,47.60365755916473,9.820086787144668,True,
20,2,0.6931439187337541,0.9400990847064689,2,52.137403860159836,10.993103177032163,True,
20,3,0.08047731852807838,0.22531668659375692,3,26.789216155706214,13.841650536381858,False,0|1|2|5|6|8|9|10|11|14
21,0,0.5247250133147263,0.834460377782933,0,47.13286759648229,5.763582229275567,False,0|1|2|4|5|6|7|10|11|12|13|14
21,1,0.11736210392574287,0.772473379136869,3,26.160585101430716,10.071165488183384,True,
21,2,0.29566457994898276,0.6066696692296363,8,60.850291710511705,9.949274100025779,True,
21,3,0.27049214282369893,0.9541032987052545,9,19.198438189079667,13.601759103623044,True,
22,0,0.11322023028895045,0.7150035638228096,0,20.63825909484553,13.01236477530459,False,0|2|4|5|6|7|8|9|10|11|13|14
22,1,0.32919561217780513,0.5591258693815253,1,21.97696776571108,11.774226896669623,False,3
22,2,0.9153073779373253,0.007312417612019617,12,71.39700273131673,9.193262444061348,False,
23,0,0.7516445601251048,0.05605064043573904,0,27.359472670365765,13.693031304840392,True,
23,1,0.3454896846294715,0.9742876202800488,1,21.941926582681873,11.003665673502297,True,
23,2,0.7781702245325108,0.014754901236638251,2,14.604370032918567,8.746995277703938,False,0|1|2|3|5|6|7|8|9|11|12|13
24,0,0.512685496170108,0.1909502618714608,0,30.298207571895755,11.259298211673537,False,0|3|4|5|6|7|8|9|10|12|13|14
24,1,0.9755442810829612,0.05227513248692062,1,30.03711180810948,6.514766828263639,False,1
24,2,0.26596753342188106,0.2517273372916774,2,19.203962764581092,4.849614232755254,False,2
26,0,0.8238568210415953,0.3291931144786202,0,29.973322547583543,11.251225794239188,True,
26,1,0.20367744074519023,0.7282380191091451,1,42.4744302767608,11.953301946356227,True,
26,2,0.3055597203750706,0.38598520178968676,2,10.5578033188072,11.934599413696672,False,0|1|2|3|4|5|7|8|9|11|12|13|14
26,3,0.16308047220777488,0.8317260930747392,6,55.40515806985361,10.489794726850288,True,
27,0,0.4444808405689078,0.007570448595276447,0,7.086523943108776,13.097140787711202,False,0|2|3|4|5|6|7|8|9|10|11|12|14
27,1,0.7450233472723269,0.26282129612487926,1,76.75844792651641,9.367765842614586,True,
27,2,0.488869897153833,0.2690488817816389,13,49.224535019971775,9.601456995069478,True,
28,0,0.5905918836249751,0.5793391401345023,0,32.7094197440425,9.990707875855044,True,
28,1,0.20270988910285082,0.11462611221348218,1,6.211456668331932,13.085985913148267,False,1|3|4|5|7|8|9|10|12|13|14
28,2,0.7827751314315969,0.8467185201675408,2,25.510269357379535,13.457127632545104,True,
